,Unnamed: 0,SALE PRICE,latitude,longitude,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,TAX CLASS = 1,TAX CLASS = 2,RESIDENTIAL,One Family Dwellings,Two Family Dwellings,Walk Up Apartments,Elevator Apartments,Condominiums,MIXED_USE,COMMERCIAL_BUILDINGS,INDUSTRIAL_BUILDINGS,VACANT_LOTS,CIVIC_USE,GOVERNMENT_BLDG,Apt Floor_mv,Apt Floor STAN,LAND SQUARE FEET_mv,LAND SQUARE FEET STAN,BUILD_YEAR(1800-1900),BUILD_YEAR(1900-2000),BUILD_YEAR(2000-2019)
101,101,487000,40.72256210000001,-73.98413675,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0.0,1,0.01509227413629082,0,1,0
102,102,475000,40.72256210000001,-73.98413675,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0.0,1,0.01509227413629082,0,1,0
103,103,1555000,40.723912,-73.984482,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.06818181818181818,1,0.01509227413629082,0,1,0
104,104,159974,40.7298874,-73.9804828,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.011363636363636364,1,0.01509227413629082,0,1,0
105,105,589000,40.794511,-73.93342629,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0.0,1,0.01509227413629082,0,1,0
106,106,12000000,40.72190905,-73.98167157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0,0.013355489906450024,0,1,0
108,108,7500000,40.74388445,-74.00133522,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0028842710711248377,0,1,0
109,109,4650000,40.74371335,-73.99644157,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0009595586589678171,0,1,0
110,110,1450000,40.74240835,-73.99886703,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.0,1,0.01509227413629082,0,1,0
111,111,5300000,40.74734425,-74.00498599,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0,0.0022240499530012084,0,1,0
112,112,22318320,40.7471927,-74.0047522,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0,0.0037934738821001745,0,1,0
113,113,9350000,40.74613075,-74.00390791,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0,0.005748959312474822,0,1,0
114,114,11700000,40.74841605,-74.00333149999999,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0,0.004179535383375856,0,1,0
115,115,7500000,40.7410075,-74.00373316,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0,0.002934626919117318,0,1,0
116,116,18350000,40.742001,-74.00101049999998,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0,0.009757844322098384,0,1,0
117,117,5500000,40.7432032,-74.00155087,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0,0.004280247079360817,0,1,0
118,118,4400000,40.75050725,-73.9976785,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0,0.004185130477597243,0,1,0
119,119,83000000,40.740512,-74.001846,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0,0.05267221700013428,0,1,0
120,120,23375000,40.7418153,-73.9975398,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0,0.003807461617653641,0,1,0
121,121,41409879,40.7393861,-73.99701384,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0,0.024397408352356653,0,1,0
122,122,1650000,40.74448935,-74.0030895,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.011363636363636364,1,0.01509227413629082,0,1,0
